delivery_id,distance_km,package_weight_kg,delivery_type,vehicle_type,traffic_condition,weather,time_of_day,day_of_week,driver_experience_years,num_stops,is_priority,package_fragile,delivery_zone,customer_rating,fuel_cost,delivery_time_hours
DEL01018,12.78,99.08,Standard,Van,Baixo,Ensolarado,Tarde,Seg-Qui,4,4,Yes,No,  Urbana ,2.38,5.85,11.46
DEL01775,10.4,6.05,Standard,Carro,Alto,Chuva Leve,Noite,Seg-Qui,5,2,Yes,No,Urbana,,5.42,16.48
DEL01135,15.69,8.31,Economy,Carro,Médio,Chuva Leve,Tarde,Sexta,5,1,No,No,Urbana,3.44,6.47,31.79
DEL01586,13.09,5.05,Standard,Moto,,Chuva Leve,Manhã,Seg-Qui,2,4,No,No,Urbana,2.49,5.22,15.12
DEL01282,16.2,4.45,Standard,Carro,Baixo,Ensolarado,Tarde,Seg-Qui,2,4,Yes,No,Suburbana,3.46,5.57,9.89
DEL02091,132.52,0.79,Standard,Caminhão,Médio,Nublado,Manhã,Sábado,1,2,No,Yes,Suburbana,3.21,6.94,17.99
DEL02008,16.31,,Standard,Moto,Médio,Nublado,Noite,Seg-Qui,4,2,No,Yes,Urbana,2.6,6.35,12.07
DEL00208,22.23,,Standard,Carro,Médio,Nublado,Tarde,Seg-Qui,2,2,No,No,Suburbana,3.21,6.35,15.03
DEL02048,23.26,,Standard,Caminhão,Baixo,Nublado,Noite,Sábado,6,1,No,No,Rural,2.85,4.85,21.13
DEL01638,0.48,6.76,Standard,Carro,Baixo,Ensolarado,Tarde,Seg-Qui,3,1,No,  No ,Urbana,3.79,4.74,10.35
DEL02441,25.68,6.18,Standard,Moto,Alto,Chuva Leve,Manhã,Sexta,0.5,4,No,No,Rural,3.93,4.74,27.61
DEL00977,17.83,4.48,Standard,Caminhão,Médio,Ensolarado,Noite,Domingo,8,4,No,No,Urbana,2.33,5.2,23.7
DEL01897,20.47,7.26,Standard,Caminhão,Alto,Ensolarado,Noite,Sábado,3,1,Yes,No,Urbana,2.93,5.07,23.19
DEL00173,21.65,4.94,Standard,Van,Baixo,Ensolarado,Noite,Sexta,5,1,No,Yes,Suburbana,2.66,6.72,16.72
DEL01365,13.42,,Standard,Moto,Médio,Ensolarado,Manhã,Sábado,0.5,2,No,No,Urbana,3.78,4.36,13.58
DEL02366,0.91,8.15,Economy,Moto,Médio,Chuva Forte,Tarde,Sábado,4,2,Yes,No,urbana,4.03,4.97,19.93
DEL00283,0.65,97.01,Standard,Moto,Baixo,Nublado,Manhã,Sábado,1,3,No,Yes,Urbana,3.77,5.73,10.92
DEL01480,7.98,4.39,Economy,Carro,Baixo,Ensolarado,Tarde,Seg-Qui,3,1,No,No,Suburbana,1.97,5.38,21.13
DEL00334,22.08,0.79,Standard,Carro,Alto,Nublado,Manhã,Sexta,,1,No,No,Suburbana,3.19,5.4,20.94
DEL01574,32.94,2.75,Standard,Carro,Médio,Nublado,Tarde,Sexta,5,4,Yes,No,Urbana,2.26,5.4,18.16
DEL02410,26.07,4.4,Economy,Carro,Baixo,  Ensolarado ,Madrugada,Seg-Qui,5,3,Yes,No,Urbana,2.85,6.61,16.74
DEL00983,7.05,,Standard,Van,Médio,Chuva Leve,Madrugada,Sexta,,1,No,No,Suburbana,2.19,6.13,17.33
DEL01237,13.21,2.35,Standard,Moto,Médio,Chuva Leve,Manhã,Seg-Qui,5,2,No,No,Urbana,2.96,4.62,10.26
DEL00553,32.94,,Standard,Moto,Baixo,Nublado,Tarde,Seg-Qui,2,1,Yes,Yes,Urbana,3.14,4.79,6.79
DEL01304,23.22,2.87,Express,Carro,Baixo,Chuva Leve,Manhã,Sexta,5,8,No,No,Urbana,3.06,5.22,18.29
DEL00574,6.82,9.1,Express,Carro,,Nublado,Manhã,Seg-Qui,7,1,No,No,Suburbana,2.16,7.93,13.21
DEL00401,23.18,1.56,Standard,Van,Médio,Ensolarado,Manhã,Seg-Qui,3,4,No,No,Suburbana,3.21,5.71,20.08
DEL01803,4.48,1.79,Economy,Carro,Médio,Chuva Leve,tarde,Seg-Qui,4,2,Yes,No,Urbana,3.14,5.68,20.2
DEL02243,17.85,6.26,Economy,Van,Congestionado,Ensolarado,Manhã,Domingo,7,4,No,No,Urbana,2.9,5.45,43.61
DEL00735,13.27,3.74,Standard,Carro,Médio,Ensolarado,Manhã,Sábado,6,1,No,No,Urbana,3.17,6.81,16.44
DEL00167,16.12,,Standard,Van,Baixo,Nublado,Noite,Sexta,2,1,No,No,Urbana,2.12,7.53,15.54
DEL00742,14.12,4.65,Standard,Van,Alto,Ensolarado,Manhã,Seg-Qui,0.5,2,Yes,No,Urbana,2.25,4.68,16.53
DEL02163,43.88,,Economy,Van,  Médio ,Chuva Forte,Tarde,Seg-Qui,1,2,No,  No ,Suburbana,2.94,5.04,42.18
DEL01738,17.95,6.11,Standard,Van,Congestionado,Ensolarado,Noite,Seg-Qui,7,1,Yes,Yes,Urbana,2.58,4.55,21.14
DEL02322,18.0,2.79,Economy,Caminhão,Alto,Ensolarado,Tarde,Sexta,3,4,No,No,Rural,3.64,5.86,39.49
DEL01992,15.14,10.49,Express,Van,Baixo,Chuva Leve,Tarde,Seg-Qui,3,1,No,Yes,Urbana,2.33,5.54,11.41
DEL00355,8.47,5.49,Economy,Carro,Médio,Ensolarado,Tarde,Seg-Qui,4,2,No,No,Urbana,2.81,5.65,22.18
DEL01854,5.61,5.03,Economy,Van,Médio,Chuva Leve,Noite,Sexta,0.5,4,Yes,No,Suburbana,3.18,4.92,31.03
DEL00523,21.88,5.4,Standard,Van,Baixo,Ensolarado,Manhã,Seg-Qui,5,1,  Yes ,No,Urbana,2.37,5.38,9.37
DEL00674,14.09,6.29,Standard,Moto,Congestionado,Chuva Forte,Tarde,Seg-Qui,5,1,No,Yes,Urbana,2.93,5.4,33.4
DEL01540,19.62,6.45,Standard,Carro,Médio,Nublado,Tarde,Sexta,9,3,No,No,Suburbana,3.28,5.21,14.71
DEL01505,11.51,2.54,Standard,Moto,Baixo,Ensolarado,Manhã,Seg-Qui,9,2,No,No,Suburbana,3.09,4.55,8.04
DEL01614,14.45,8.86,Standard,Moto,Médio,Ensolarado,Manhã,Sábado,5,3,No,Yes,Urbana,3.46,4.02,14.76
DEL00811,28.57,3.65,Standard,Carro,Baixo,Ensolarado,Tarde,Sexta,1,3,No,No,Urbana,2.98,5.6,16.29
DEL02442,1.54,1.92,Economy,Moto,Alto,Ensolarado,Madrugada,Seg-Qui,6,1,No,No,Suburbana,2.65,4.04,20.51
DEL00100,8.25,9.08,Standard,Carro,Alto,Tempestade,Tarde,Sábado,5,1,  No ,No,Urbana,3.13,5.75,41.66
DEL01647,24.11,,Economy,Moto,Baixo,Nublado,Tarde,Seg-Qui,4,1,No,Yes,Rural,3.51,5.24,17.96
DEL00541,26.16,7.92,Standard,Carro,Médio,Nublado,Tarde,Seg-Qui,5,1,No,Yes,Suburbana,2.07,5.76,19.65
DEL00640,9.99,10.39,Standard,Moto,Médio,Ensolarado,Tarde,Seg-Qui,5,1,No,Yes,Urbana,2.52,5.1,14.94
DEL01053,1.75,6.06,Economy,Caminhão,,Ensolarado,Manhã,Seg-Qui,0.5,2,No,No,Urbana,2.15,,24.99
DEL01083,3.26,1.9,Standard,Moto,Alto,Chuva Leve,Manhã,Seg-Qui,20.1,1,Yes,No,Urbana,3.15,6.33,10.2
DEL01340,21.68,,Economy,Moto,Alto,Ensolarado,Manhã,Seg-Qui,,2,Yes,No,Urbana,3.84,5.77,18.54
DEL02452,26.81,0.59,Standard,Moto,Médio,Chuva Forte,Manhã,Sexta,0.5,1,No,No,Suburbana,3.35,6.77,18.72
DEL01174,9.6,,Economy,Carro,Médio,Ensolarado,Tarde,Seg-Qui,10,2,No,Yes,Urbana,3.57,5.77,23.45
DEL02153,32.69,3.52,Economy,Van,Baixo,Ensolarado,Tarde,Seg-Qui,0,2,No,No,Urbana,3.28,5.9,24.44
DEL00580,3.56,4.32,Standard,Carro,Médio,Ensolarado,Manhã,Seg-Qui,10,2,No,No,Suburbana,3.05,4.83,12.21
DEL00486,17.18,93.75,Standard,Van,Médio,Ensolarado,Noite,Seg-Qui,0.5,1,No,No,Rural,2.6,3.2,14.87
DEL01983,,8.37,Standard,Moto,,Chuva Forte,Madrugada,Seg-Qui,9,1,No,No,Suburbana,3.26,5.1,13.93
DEL01580,23.53,0.36,Standard,Moto,Médio,Ensolarado,Manhã,Seg-Qui,5,3,No,No,Urbana,3.72,5.88,9.43
DEL01139,32.42,2.03,Standard,Moto,,Ensolarado,Noite,Seg-Qui,3,3,No,No,Suburbana,2.62,5.76,14.48
DEL00639,15.18,6.62,Express,Carro,Baixo,Nublado,Manhã,Sábado,4,3,No,Yes,Urbana,3.63,5.85,8.92
DEL00304,32.01,6.27,Standard,Carro,Médio,Ensolarado,Noite,Sexta,,2,No,Yes,Urbana,2.55,6.11,20.54
DEL01800,12.3,6.4,Standard,Carro,,Ensolarado,Tarde,Seg-Qui,3,2,No,No,Suburbana,3.22,4.94,18.45
DEL01353,18.48,0.83,Standard,Moto,Médio,Chuva Leve,Tarde,Seg-Qui,8,1,No,No,Urbana,2.06,4.56,11.54
DEL01172,15.92,,Standard,Carro,Congestionado,Chuva Leve,Madrugada,Seg-Qui,4,1,No,No,Urbana,3.18,6.59,24.58
DEL00275,16.77,4.06,Express,Carro,Baixo,Ensolarado,  Manhã ,Seg-Qui,8,1,No,Yes,Urbana,3.84,4.35,0.5
DEL01865,25.46,0.32,Standard,Van,Congestionado,Ensolarado,Noite,Seg-Qui,9,2,No,Yes,Rural,2.06,4.86,26.18
DEL02397,27.94,4.64,Standard,Carro,Baixo,Ensolarado,Manhã,Seg-Qui,5,2,No,Yes,Urbana,2.91,6.02,13.01
DEL02138,17.53,10.24,Standard,Carro,Baixo,Ensolarado,Tarde,Seg-Qui,8,2,Yes,No,Suburbana,3.26,5.06,4.84
DEL00457,16.89,1.33,Standard,Van,Baixo,Chuva Leve,Tarde,Seg-Qui,1,2,Yes,No,Suburbana,,6.4,13.51
DEL00371,0.85,4.34,Standard,Carro,Médio,Ensolarado,Manhã,Seg-Qui,1,4,Yes,No,Urbana,,5.94,11.75
DEL01182,14.19,0.09,Express,Moto,Baixo,Ensolarado,Tarde,Seg-Qui,0.5,3,No,No,Urbana,2.41,5.88,6.66
DEL01219,17.82,5.59,Standard,Van,,Ensolarado,Tarde,Seg-Qui,2,2,No,No,Suburbana,3.23,4.71,15.56
DEL00500,17.04,8.59,Standard,Carro,Congestionado,Chuva Forte,Manhã,Seg-Qui,0.5,2,No,No,Suburbana,2.45,6.25,34.55
DEL02307,22.89,7.57,Express,Caminhão,Médio,Nublado,Tarde,Seg-Qui,,1,No,No,Urbana,2.86,5.23,16.96
DEL00269,18.2,3.67,Express,Moto,Médio,Ensolarado,Noite,Sábado,5,1,No,No,Urbana,2.0,4.72,8.22
DEL00767,20.89,5.84,Economy,Van,Baixo,Chuva Leve,Tarde,Sexta,4,5,Yes,No,Urbana,3.26,4.91,32.2
DEL02363,25.41,8.37,Standard,Carro,Médio,Ensolarado,Tarde,Sexta,3,8,No,No,Urbana,2.71,5.74,32.42
DEL02001,25.69,2.65,Economy,Moto,Alto,Ensolarado,Noite,Seg-Qui,0.5,4,Yes,No,Rural,3.5,4.66,28.71
DEL00851,4.5,3.29,Standard,Carro,Alto,Chuva Leve,Tarde,Sábado,1,1,no,No,Urbana,3.52,6.3,23.58
DEL00805,25.2,5.42,Standard,Carro,Baixo,Chuva Leve,Madrugada,Domingo,3,2,No,No,Suburbana,2.12,5.56,14.36
DEL02346,10.03,0.71,Economy,Carro,Baixo,Chuva Leve,Tarde,Domingo,3,1,No,No,Suburbana,2.71,6.15,26.29
DEL02027,32.05,6.85,Standard,Van,Médio,Chuva Leve,Manhã,Sexta,3,4,No,Yes,Urbana,3.31,7.04,26.36
DEL00365,22.83,1.91,Express,Carro,Médio,Ensolarado,Manhã,Seg-Qui,10,2,No,Yes,Urbana,3.4,6.82,3.74
DEL01068,28.9,5.32,Express,Caminhão,Médio,Ensolarado,Manhã,Seg-Qui,4,1,No,No,Urbana,2.76,6.27,16.39
DEL01458,16.96,4.18,Economy,Carro,Congestionado,Nublado,Manhã,Seg-Qui,0.5,2,No,Yes,Rural,2.17,5.37,37.65
DEL01799,15.22,4.3,Standard,Carro,,Tempestade,Madrugada,Sexta,,3,No,No,Urbana,2.31,5.95,30.91
DEL00813,22.04,4.63,Standard,Carro,Baixo,Ensolarado,Manhã,Seg-Qui,5,1,No,Yes,Urbana,1.98,6.62,11.8
DEL01209,11.25,4.12,Standard,Moto,Congestionado,Nublado,Manhã,Sábado,5,1,Yes,No,Urbana,2.53,4.85,18.07
DEL02403,7.81,3.59,Standard,Van,Médio,Ensolarado,Noite,Sábado,3,1,No,No,Suburbana,2.68,4.6,20.29
DEL00465,16.77,2.74,Standard,Carro,,Ensolarado,Manhã,Sexta,7,3,No,Yes,Rural,3.3,5.97,24.48
DEL01507,9.68,4.45,Standard,Van,Alto,Chuva Leve,Madrugada,Sexta,4,1,Yes,Yes,Urbana,3.22,4.98,17.67
DEL02265,24.93,,Standard,Van,Médio,Chuva Leve,Tarde,Sexta,4,1,Yes,No,Urbana,3.67,6.03,20.78
DEL01767,18.01,6.16,Standard,Van,Médio,Ensolarado,Tarde,Sábado,4,1,No,Yes,Urbana,3.56,4.56,21.18
DEL02440,28.17,6.87,Express,Moto,Médio,Ensolarado,Madrugada,Domingo,3,1,Yes,Yes,Urbana,,6.0,0.84
DEL01658,26.6,6.89,Standard,Carro,Médio,Chuva Forte,Manhã,Sábado,10,2,No,No,Suburbana,3.54,5.59,23.07
DEL00040,5.93,2.59,Economy,Moto,Baixo,Chuva Forte,Tarde,Seg-Qui,9,7,No,No,Rural,2.98,5.81,30.15
DEL00982,22.17,5.46,Express,Carro,Alto,Nublado,Manhã,Sexta,3,1,No,Yes,Urbana,2.62,5.43,17.37
DEL02241,27.97,3.56,Economy,  Moto ,Médio,Ensolarado,Tarde,Seg-Qui,6,2,No,No,Urbana,1.74,7.33,23.35
DEL01626,4.89,,Standard,Carro,Médio,Chuva Forte,Tarde,Sexta,7,3,No,Yes,Urbana,3.26,6.11,24.55
DEL01956,13.22,5.09,Economy,Moto,Alto,Ensolarado,Manhã,Sexta,1,1,Yes,No,Urbana,3.36,4.44,21.12
DEL00225,8.79,6.6,Standard,Carro,Alto,Chuva Forte,Tarde,Seg-Qui,6,3,No,Yes,Rural,3.24,6.59,24.78
DEL01520,,6.96,Economy,Carro,Baixo,Ensolarado,Manhã,Seg-Qui,8,3,No,No,Urbana,2.05,5.52,21.29
DEL02044,10.45,3.5,Economy,Van,Médio,Ensolarado,Manhã,Sábado,2,3,No,No,Suburbana,3.05,4.8,32.67
DEL01514,27.93,4.97,Standard,Moto,Baixo,Nublado,Noite,Seg-Qui,3,2,No,No,Urbana,2.8,,10.24
DEL01654,12.18,7.69,Standard,Carro,Alto,Nublado,Manhã,Domingo,3,2,No,No,Urbana,,6.93,23.82
DEL02468,18.31,8.35,Economy,Van,Alto,Ensolarado,Tarde,Seg-Qui,7,1,Yes,No,Suburbana,2.81,5.75,28.04
DEL00479,11.57,5.88,Economy,  Moto ,Médio,ensolarado,Manhã,Seg-Qui,5,2,No,No,Urbana,2.96,4.91,19.33
DEL00799,13.68,8.53,Standard,Caminhão,Médio,Ensolarado,Manhã,Domingo,5,7,Yes,No,Urbana,2.27,5.2,25.88
DEL02423,13.16,,Standard,Carro,Médio,Nublado,Noite,Sexta,5,1,No,No,Suburbana,3.4,6.61,18.7
DEL01113,,8.12,Standard,Moto,Médio,Chuva Forte,Tarde,Sexta,2,4,No,No,Suburbana,,5.24,26.92
DEL00011,9.93,9.94,Standard,Van,Alto,Nublado,Tarde,Sexta,4,1,No,Yes,Suburbana,2.49,6.32,27.23
DEL00379,10.08,3.45,Standard,Moto,Alto,Chuva Forte,Manhã,Seg-Qui,0.5,1,No,Yes,Urbana,3.19,4.5,22.51
DEL02427,5.89,1.5,Standard,Moto,Médio,Chuva Leve,Noite,Sábado,5,1,No,no,Suburbana,3.2,4.58,13.01
DEL01850,3.07,4.92,Economy,Carro,Baixo,Nublado,Manhã,Seg-Qui,5,2,No,No,Urbana,2.72,4.81,20.98
DEL00790,5.4,2.32,Express,Moto,baixo,Ensolarado,Tarde,Seg-Qui,2,2,Yes,No,Rural,3.24,5.08,0.5
DEL01820,15.17,7.89,Standard,Moto,Médio,Nublado,Noite,Seg-Qui,4,3,Yes,No,Suburbana,,5.91,8.97
DEL01617,15.45,5.83,Express,Moto,Baixo,Nublado,Noite,Sexta,6,2,No,Yes,Urbana,2.73,6.22,12.34
DEL02172,,5.56,Economy,Moto,Médio,Ensolarado,Manhã,Seg-Qui,5,3,No,No,Suburbana,2.34,6.38,21.68
DEL01583,14.37,1.71,Standard,Moto,,Chuva Forte,Manhã,Sexta,5,2,Yes,No,Urbana,3.86,5.5,16.44
DEL00610,1.69,3.55,Standard,Carro,Congestionado,Nublado,Manhã,Seg-Qui,6,5,Yes,Yes,Rural,2.59,7.3,23.01
DEL01900,10.88,3.65,Standard,Moto,Alto,Ensolarado,Noite,Seg-Qui,7,2,No,No,Urbana,2.5,3.89,15.49
DEL01220,14.56,1.11,Express,Moto,Alto,Chuva Forte,Noite,Seg-Qui,5,1,No,Yes,Rural,3.28,4.39,16.97
DEL00595,25.15,6.87,Standard,Moto,Alto,Ensolarado,Tarde,Sexta,10,2,Yes,No,Suburbana,2.64,5.51,14.96
DEL00723,6.53,1.19,Standard,Carro,Médio,Ensolarado,Tarde,Seg-Qui,0.5,3,No,No,Urbana,3.01,4.7,14.0
DEL01385,10.24,,Standard,Moto,Alto,Ensolarado,Tarde,Seg-Qui,6,2,Yes,No,Suburbana,2.05,6.18,14.64
DEL00354,16.73,1.18,Standard,Carro,Médio,Nublado,Tarde,Seg-Qui,5,4,No,No,Urbana,2.76,6.45,18.11
DEL00699,,13.13,Economy,Carro,,Chuva Leve,Madrugada,Sexta,7,7,No,No,Urbana,3.1,,34.63
DEL02209,16.85,6.98,Express,Carro,,Nublado,Manhã,Sexta,4,1,No,No,Rural,2.38,5.55,8.59
DEL00667,29.02,,Standard,Carro,Alto,Nublado,Manhã,Sexta,3,4,No,Yes,Suburbana,2.81,4.23,25.22
DEL00050,25.47,4.72,Standard,Caminhão,Médio,Ensolarado,Madrugada,Seg-Qui,7,1,No,No,Suburbana,2.71,5.69,14.39
DEL01193,4.44,2.45,Economy,Van,Médio,Chuva Forte,Noite,Seg-Qui,6,3,No,Yes,Suburbana,2.94,5.39,28.23
DEL00391,12.79,1.61,Standard,Caminhão,Alto,Nublado,Tarde,Sábado,9,2,No,Yes,Suburbana,1.39,6.62,23.86
DEL02312,21.42,1.07,Express,Moto,Alto,Ensolarado,Madrugada,Seg-Qui,4,2,No,Yes,Suburbana,3.33,5.84,6.08
DEL01978,2.73,1.73,Economy,Van,Baixo,Nublado,Manhã,Seg-Qui,4,1,Yes,No,Urbana,2.3,5.4,11.27
DEL01718,9.36,9.86,Standard,Van,Congestionado,Ensolarado,Manhã,Seg-Qui,4,1,Yes,No,Urbana,2.42,8.03,23.38
DEL02230,25.68,,Express,Carro,Médio,Nublado,Tarde,Sexta,7,6,No,Yes,Urbana,2.48,6.66,20.68
DEL00147,21.89,1.87,Standard,Van,Médio,Ensolarado,Manhã,Seg-Qui,3,2,No,No,Suburbana,3.1,4.54,15.75
DEL02361,6.33,1.97,Standard,Carro,Baixo,Nublado,Tarde,Seg-Qui,1,3,No,No,Urbana,2.55,8.21,15.36
DEL01926,10.64,7.56,Express,Van,Médio,Nublado,Manhã,Seg-Qui,1,2,No,No,Urbana,2.58,4.66,15.34
DEL00409,22.61,8.23,Express,Carro,Alto,Ensolarado,Noite,Domingo,0.5,2,No,No,Suburbana,3.1,4.85,20.85
DEL02493,11.46,,Standard,Carro,Médio,Nublado,Noite,Sábado,8,3,Yes,No,Suburbana,3.55,5.7,16.79
DEL00688,3.4,2.38,Standard,Moto,Alto,Ensolarado,Tarde,Sábado,3,3,No,No,Urbana,2.85,4.53,18.78
DEL02372,16.71,1.28,Express,Caminhão,Baixo,Chuva Leve,Tarde,Seg-Qui,8,1,No,Yes,Urbana,3.95,5.78,11.29
DEL02162,12.5,5.88,Economy,Van,Baixo,Nublado,Manhã,Seg-Qui,4,3,No,No,Urbana,3.7,7.85,24.81
DEL01015,12.78,8.96,Economy,Moto,Congestionado,Chuva Forte,Manhã,seg-qui,5,1,No,Yes,Urbana,3.05,6.22,42.36
DEL01754,2.42,,Economy,Caminhão,,Ensolarado,Tarde,Seg-Qui,10,1,No,No,Suburbana,2.08,6.02,36.62
DEL00909,10.2,7.1,Economy,Moto,Baixo,Ensolarado,Tarde,Seg-Qui,5,2,No,Yes,Urbana,3.25,4.77,21.53
DEL00198,17.89,4.31,Express,Moto,Médio,Ensolarado,Manhã,Seg-Qui,6,1,No,No,Urbana,2.85,6.41,0.62
DEL02503,,1.37,Standard,Carro,Alto,Ensolarado,Noite,Seg-Qui,5,2,No,Yes,Rural,3.31,4.9,16.94
DEL01169,15.09,0.12,Economy,Carro,,Ensolarado,Madrugada,Sexta,0.5,2,No,No,Urbana,2.61,5.22,19.02
DEL00912,28.15,4.59,Standard,Carro,,Chuva Leve,Noite,Seg-Qui,2,2,No,Yes,Urbana,2.76,5.93,28.32
DEL00089,13.59,4.79,Standard,Carro,Baixo,Ensolarado,Tarde,Seg-Qui,,2,Yes,No,Urbana,2.85,6.3,4.57
DEL01816,2.04,0.41,Standard,Moto,,Nublado,Manhã,Seg-Qui,10,1,Yes,Yes,Rural,2.19,7.13,18.24
DEL02455,1.98,6.22,Standard,Van,Baixo,Ensolarado,Madrugada,Sexta,3,1,No,No,Urbana,2.72,4.5,7.26
DEL00569,11.12,,Economy,Carro,Congestionado,Chuva Leve,Tarde,Seg-Qui,8,3,No,No,Urbana,3.87,4.5,43.02
DEL02422,16.57,,Express,Moto,Médio,Chuva Forte,Tarde,Sexta,8,7,No,No,Urbana,3.88,7.41,22.89
DEL01398,-2.22,,Economy,Carro,Médio,Tempestade,Tarde,Sexta,8,3,No,Yes,Suburbana,2.74,6.95,45.9
DEL00907,18.82,6.82,Standard,Moto,Médio,Nublado,Noite,Sábado,5,8,No,No,Urbana,3.69,6.69,27.06
DEL01273,,7.72,Economy,Carro,Baixo,Ensolarado,Tarde,Sexta,5,2,No,No,Urbana,3.09,5.62,32.0
DEL01241,14.08,4.14,Economy,Van,Médio,Ensolarado,Manhã,Sexta,3,1,Yes,No,Rural,3.57,5.87,19.35
DEL01168,29.75,6.96,Standard,Moto,,Chuva Leve,Tarde,Sexta,5,2,No,No,Suburbana,2.59,6.7,18.62
DEL01836,1.25,1.04,Express,Van,,Nublado,Tarde,Seg-Qui,1,2,No,No,Urbana,3.56,,20.64
DEL01657,16.15,3.61,Standard,Carro,,Nublado,Madrugada,Domingo,3,4,Yes,No,Suburbana,2.97,6.02,6.9
DEL01214,21.77,2.68,Economy,Carro,,Nublado,Manhã,Seg-Qui,10,1,Yes,No,Urbana,2.44,6.07,25.97
DEL01714,17.33,2.19,Economy,Caminhão,Baixo,Tempestade,Madrugada,Seg-Qui,4,4,Yes,No,Urbana,2.8,5.23,38.32
DEL01283,10.21,7.84,Express,Moto,Alto,Ensolarado,Noite,Seg-Qui,10,1,No,No,Urbana,2.99,6.03,8.73
DEL01041,11.52,5.05,Economy,Carro,Baixo,Nublado,Tarde,Seg-Qui,4,2,No,No,Urbana,3.04,6.56,25.06
DEL00533,,2.26,Economy,Carro,Alto,Ensolarado,Madrugada,Sexta,,1,No,No,Urbana,2.93,5.25,24.9
