property_id,built_area_sqm,bedrooms,bathrooms,parking_spaces,location,property_age_years,floor_number,view_type,condo_fee,infrastructure,has_security,has_pool,has_elevator,property_type,furnished,nearby_metro_km,price_brl
PROP02351,83.91,4,4,2,Zona Sul,3,0,None,576.58,Completa,Yes,No,Yes,Apartamento,No,0.53,1106799.84
PROP02353,134.19,4,3,1,Centro,43,16,,,Completa,Yes,Yes,Yes,Apartamento,No,3.51,1313640.06
PROP00517,131.89,4,3,2,Zona Sul,10,3,Park,450.19,Básica,Yes,No,Yes,Casa,No,2.99,1226866.06
PROP01628,141.4,4,2,3,Centro,46,6,City,436.05,Premium,No,Yes,Yes,Apartamento,Yes,0.9,1263745.77
PROP00428,48.49,2,2,3,Zona Norte,36,15,Park,613.86,,Yes,No,No,Casa,No,2.41,711159.77
PROP00547,100.73,3,4,1,Subúrbio,1,18,Sea,466.01,Completa,Yes,Yes,Yes,Apartamento,No,1.22,1229125.22
PROP01731,,1,4,2,Subúrbio,2,13,Sea,503.92,Completa,Yes,No,Yes,Casa,No,3.38,1114501.03
PROP00235,106.39,1,4,1,Zona Sul,24,19,None,516.89,Básica,No,No,No,Casa,Yes,2.25,867535.91
PROP00638,48.97,3,2,1,Zona Sul,18,,None,609.65,Completa,Yes,No,No,Casa,No,1.41,819895.9
PROP01073,103.17,1,4,1,Zona Leste,14,0,None,901.18,Premium,No,No,No,Casa,No,2.84,693928.46
PROP00817,96.6,4,3,2,Subúrbio,27,10,City,932.17,Básica,No,No,Yes,Cobertura,No,0.44,740075.72
PROP00155,57.71,2,1,1,Zona Sul,19,11,None,514.03,Completa,No,Yes,Yes,Casa,No,,794478.01
PROP02433,90.13,3,2,2,Zona Norte,16,,,353.81,,No,Yes,No,Apartamento,No,2.96,1166360.52
PROP02016,74.69,2,3,1,Subúrbio,5,1,None,382.28,Premium,Yes,No,Yes,Casa,No,1.81,825907.29
PROP00317,68.74,2,2,2,Zona Leste,0,17,,736.02,Premium,Yes,No,No,Casa,No,3.35,955946.62
PROP01248,106.22,5,4,2,Zona Sul,27,9,City,695.19,Básica,Yes,No,Yes,Apartamento,No,0.11,1164478.73
PROP00239,15.53,2,1,1,Zona Leste,24,0,None,,Básica,No,No,  Yes ,Cobertura,Yes,3.41,197327.48
PROP02400,80.41,12,2,0,Subúrbio,33,7,None,595.63,Premium,No,No,Yes,Apartamento,No,1.72,699502.41
PROP01330,142.93,4,3,2,Zona Leste,33,0,None,690.73,,Yes,No,No,Apartamento,No,0.04,995169.64
PROP00831,115.99,2,1,2,Zona Sul,46,0,City,677.64,Básica,Yes,No,No,Casa,No,2.92,690393.82
PROP02101,169.07,3,2,2,Zona Norte,22,0,None,1069.21,Premium,Yes,No,Yes,Cobertura,Yes,,881372.6
PROP00021,103.68,2,3,3,Zona Sul,3,7,None,90.03,Premium,Yes,No,Yes,Casa,No,,1226038.87
PROP01260,200.23,3,2,2,Zona Oeste,22,9,City,516.8,Completa,Yes,No,No,Casa,No,2.92,1210996.75
PROP00012,141.44,3,1,3,Zona Norte,10,0,City,,Básica,Yes,No,Yes,Casa,No,,978325.41
PROP00262,139.24,2,4,2,Centro,4,11,None,420.77,Básica,No,No,No,Casa,No,1.53,1035889.35
PROP01829,,4,1,3,Zona Oeste,22,4,Park,239.37,Completa,Yes,No,Yes,Casa,No,1.33,1097502.21
PROP01184,100.86,1,2,3,Centro,1,12,,,Básica,No,No,Yes,Casa,No,0.99,726244.74
PROP01043,25.06,3,3,2,Subúrbio,1,0,,492.35,Premium,No,No,No,Apartamento,Yes,2.12,740905.85
PROP00790,,2,2,1,Zona Leste,19,4,None,563.8,Básica,Yes,No,Yes,Apartamento,No,,696514.67
PROP01926,91.8,3,1,2,Zona Leste,50,5,City,409.81,Básica,No,Yes,Yes,Apartamento,Yes,2.09,724696.42
PROP00993,111.14,3,2,1,Zona Sul,9,10,  City ,315.16,Básica,No,No,Yes,Casa,No,3.14,980033.49
PROP00236,113.51,2,4,3,Zona Sul,23,12,City,597.46,Completa,Yes,Yes,Yes,Apartamento,No,4.62,1305390.49
PROP00718,92.75,2,1,2,Centro,3,10,  None ,278.33,Completa,No,No,Yes,Casa,No,3.98,967659.66
PROP00308,124.68,4,4,1,Zona Norte,39,10,Sea,890.08,Básica,Yes,No,No,Apartamento,No,1.43,1036370.44
PROP01991,131.58,2,2,2,Zona Sul,9,11,City,1123.56,Completa,Yes,Yes,No,Casa,No,,1127805.69
PROP01619,120.11,2,4,2,  Zona Sul ,8,3,Park,391.47,Completa,No,No,Yes,Casa,No,0.47,1167559.7
PROP01982,69.96,2,3,1,Subúrbio,45,3,None,381.79,Completa,Yes,No,Yes,Apartamento,No,0.22,654433.57
PROP01516,135.05,3,4,1,Subúrbio,42,8,None,611.45,Premium,No,No,Yes,Casa,No,1.05,968708.83
PROP00829,73.32,2,1,2,Subúrbio,32,14,None,560.73,Básica,Yes,No,Yes,Apartamento,No,,521688.5
PROP00721,98.89,1,2,1,Zona Sul,4,8,City,703.87,Completa,Yes,Yes,Yes,Apartamento,No,0.57,944123.33
PROP00060,148.68,3,5,0,Zona Sul,31,1,None,767.84,Completa,Yes,Yes,Yes,Apartamento,No,4.27,1133636.78
PROP01289,119.69,2,1,1,Zona Sul,5,13,None,838.68,Premium,Yes,Yes,Yes,Apartamento,No,3.25,1177020.8
PROP00297,112.24,2,3,3,Zona Sul,40,9,City,321.54,Completa,No,Yes,No,Apartamento,No,0.18,1153429.32
PROP00909,58.44,1,3,2,Subúrbio,14,7,Park,495.3,Completa,Yes,No,Yes,Casa,No,,659722.15
PROP02275,95.73,3,1,0,Zona Leste,37,18,,624.59,Básica,Yes,No,Yes,Apartamento,No,2.62,737825.37
PROP00750,120.1,1,1,2,Zona Oeste,9,9,City,1102.89,Básica,Yes,No,No,Casa,No,3.5,617702.76
PROP01751,107.57,10,3,1,Zona Oeste,32,12,None,406.61,Premium,Yes,Yes,Yes,Apartamento,No,1.48,1162659.9
PROP00872,132.57,3,2,0,Centro,37,3,None,613.79,Completa,No,No,Yes,Apartamento,No,1.34,854996.54
PROP02125,94.93,6,4,1,Zona Norte,32,7,None,481.26,  Básica ,Yes,No,Yes,Apartamento,No,,1059152.47
PROP00601,,3,2,2,Subúrbio,50,13,City,874.59,Completa,Yes,No,No,Apartamento,No,1.13,752889.49
PROP01971,,2,4,1,Centro,8,0,None,42.29,Básica,Yes,Yes,Yes,Casa,No,3.19,927595.71
PROP02254,135.21,4,1,0,Zona Oeste,25,0,City,797.36,Completa,Yes,No,Yes,Casa,No,,829213.19
PROP00078,66.36,4,3,2,Zona Norte,1,7,City,919.71,Básica,Yes,No,No,Apartamento,No,2.04,798774.73
PROP01209,108.6,2,4,1,Zona Sul,5,19,City,618.62,Básica,Yes,No,Yes,Casa,Yes,1.35,1098583.01
PROP02028,35.08,4,1,2,Zona Leste,35,18,,615.7,Básica,Yes,No,No,Casa,No,2.0,707173.61
PROP00935,117.08,3,4,2,Zona Oeste,30,14,None,559.59,Completa,Yes,No,No,Apartamento,No,3.02,1137408.44
PROP02195,83.82,1,2,1,Centro,1,4,None,884.59,,No,No,Yes,Apartamento,No,1.19,746031.52
PROP00490,,3,4,1,Zona Norte,29,7,None,458.41,Básica,Yes,Yes,No,Casa,No,5.04,860727.68
PROP00945,52.12,3,2,1,Subúrbio,18,13,Sea,1202.04,Completa,Yes,Yes,No,Apartamento,Yes,,850604.83
PROP01251,46.06,0,1,1,Subúrbio,28,6,,179.55,,No,Yes,Yes,Apartamento,No,1.72,888082.53
PROP02119,77.8,1,3,1,Zona Leste,22,12,City,829.67,Básica,Yes,No,Yes,Apartamento,Yes,2.01,569040.06
PROP00821,105.75,2,2,3,Centro,26,7,Park,753.4,Básica,Yes,No,Yes,Apartamento,No,3.32,878427.06
PROP01272,33.26,1,3,1,Zona Leste,21,0,None,22.19,Básica,Yes,No,No,Casa,No,3.7,456443.55
PROP01564,72.78,4,3,1,Centro,33,14,None,457.53,,Yes,No,No,Casa,Yes,,946768.79
PROP00066,66.35,2,2,1,Zona Leste,33,8,City,77.22,Básica,No,No,Yes,Apartamento,No,3.07,691148.17
PROP00869,96.91,3,2,2,Zona Oeste,11,18,None,377.81,Completa,Yes,No,No,Apartamento,No,1.25,1021330.78
PROP01736,58.25,2,3,2,Zona Norte,32,0,City,643.58,,Yes,No,No,Apartamento,No,0.27,595561.28
PROP01608,112.07,1,3,3,Zona Oeste,47,12,Sea,713.55,Premium,No,No,Yes,Casa,Yes,2.67,1007748.05
PROP01481,82.45,3,4,2,Zona Oeste,29,20,None,1294.82,Básica,Yes,No,No,Casa,Yes,0.22,757307.75
PROP01047,54.7,1,2,2,Zona Sul,44,13,City,470.1,Premium,Yes,No,Yes,Apartamento,No,0.79,881171.92
PROP01254,,2,2,2,Zona Oeste,3,8,None,,,Yes,No,Yes,Apartamento,No,1.83,919450.97
PROP00886,128.23,3,3,1,Zona Oeste,20,0,City,640.64,Básica,No,No,Yes,Casa,  No ,2.88,780449.16
PROP02052,94.82,2,2,1,Zona Sul,23,,None,431.84,Completa,Yes,No,Yes,Apartamento,No,5.6,874643.61
PROP00096,85.82,3,2,2,Centro,42,12,City,331.3,Completa,Yes,Yes,No,Apartamento,No,0.85,1137973.13
PROP00363,102.72,3,4,2,Zona Leste,13,0,Park,239.21,Básica,No,No,No,Apartamento,No,0.49,993732.59
PROP01240,123.32,3,1,1,Zona Sul,16,0,None,68.51,Completa,Yes,No,Yes,Apartamento,No,2.34,1042501.71
PROP02304,76.21,1,2,2,Zona Sul,26,0,None,867.62,Básica,No,Yes,No,Casa,No,1.77,559918.92
PROP00159,77.31,3,3,1,Centro,38,18,City,1101.03,Completa,Yes,No,Yes,Apartamento,No,1.25,911313.61
PROP00238,75.37,2,3,2,Zona Norte,46,17,None,27.63,Básica,No,Yes,Yes,Casa,No,2.51,810085.4
PROP02161,139.32,4,2,3,Zona Sul,19,9,City,844.7,Básica,No,No,Yes,Apartamento,No,2.45,1054098.0
PROP01883,136.29,4,3,2,Zona Sul,0,5,None,533.85,Básica,Yes,No,Yes,Casa,No,0.62,1148539.53
PROP02159,90.44,3,3,3,Zona Sul,1,4,City,451.69,,Yes,No,No,Casa,No,3.55,1071575.61
PROP01577,169.25,1,3,1,Zona Norte,8,11,None,242.3,Completa,No,No,No,Apartamento,No,3.99,931340.93
PROP01794,77.2,2,2,1,Centro,3,7,,1012.27,Completa,Yes,No,No,Apartamento,No,3.86,673823.01
PROP01129,137.77,3,2,5,Zona Oeste,4,8,None,390.19,Completa,No,No,Yes,Apartamento,No,0.22,1194421.36
PROP01132,159.94,4,2,2,Zona Sul,44,16,City,632.28,Premium,Yes,Yes,No,Apartamento,No,,1415470.24
PROP01776,139.39,3,2,1,Zona Norte,1,9,None,309.27,,No,No,No,Apartamento,Yes,2.79,1122446.47
PROP00903,215.82,4,3,2,Zona Oeste,33,0,None,565.21,Básica,Yes,No,Yes,Casa,No,3.53,1149455.96
PROP00961,60.64,4,1,1,Zona Sul,36,20,Park,483.4,Completa,Yes,No,No,Casa,No,1.93,938885.23
PROP00797,93.95,4,1,4,Subúrbio,11,13,None,641.65,Premium,Yes,No,Yes,Apartamento,No,1.89,1036627.34
PROP02216,152.2,2,2,2,Zona Norte,33,19,Sea,643.73,Premium,No,No,Yes,Apartamento,No,0.71,1101999.21
PROP00692,123.84,2,1,3,Centro,5,0,None,516.42,Completa,Yes,Yes,Yes,Casa,No,3.3,1023834.42
PROP01174,117.42,2,6,1,Zona Sul,39,9,Park,869.91,Básica,No,No,No,Apartamento,No,0.53,1017515.33
PROP00989,53.45,4,3,1,Zona Norte,35,4,Sea,770.02,Premium,Yes,No,No,Cobertura,Yes,0.06,965490.25
PROP01923,,2,1,2,Zona Oeste,16,7,Sea,154.81,Básica,Yes,Yes,No,Apartamento,Yes,1.28,930302.3
PROP01899,89.85,1,1,2,Zona Sul,20,17,None,584.42,Completa,Yes,Yes,Yes,Apartamento,Yes,4.02,969713.56
PROP01901,151.99,3,1,1,Zona Oeste,33,,None,423.1,Completa,No,Yes,No,Apartamento,No,1.72,994249.66
PROP01674,101.66,2,1,2,Centro,48,0,None,932.46,Completa,Yes,Yes,No,Apartamento,No,1.77,721378.26
PROP01802,12.5,1,2,2,Zona Oeste,0,17,City,273.66,Completa,Yes,No,Yes,Casa,No,,805187.56
PROP00492,114.51,2,3,0,Subúrbio,26,14,None,178.05,Completa,Yes,Yes,No,Apartamento,No,3.62,919888.17
PROP01191,53.18,1,3,0,Zona Oeste,11,5,None,554.54,Básica,Yes,No,No,Apartamento,No,3.64,457854.85
PROP00704,118.51,4,2,2,Zona Sul,29,4,,375.05,Completa,No,No,No,Apartamento,No,2.88,1006087.34
PROP02230,67.94,3,2,2,Centro,3,2,,830.87,Básica,No,No,No,Casa,No,0.78,742785.05
PROP00612,132.58,5,1,1,Zona Norte,20,4,None,980.08,Completa,Yes,No,Yes,Apartamento,No,,919767.89
PROP00429,109.98,2,3,2,Zona Sul,5,5,City,501.03,Básica,No,Yes,No,Apartamento,No,1.21,1061189.08
PROP01233,88.02,4,2,1,Subúrbio,12,16,City,380.05,Básica,Yes,No,Yes,Casa,No,3.12,910403.05
PROP00908,157.43,3,2,1,Zona Norte,0,,None,117.71,Básica,Yes,Yes,No,Casa,No,1.45,1101942.71
PROP02031,63.69,1,2,2,ZONA LESTE,24,5,City,190.6,Básica,Yes,No,No,Casa,Yes,,659282.78
PROP02073,136.43,4,1,2,Subúrbio,40,5,City,672.35,Completa,Yes,No,No,Casa,No,3.02,911572.96
PROP02183,,4,4,3,Centro,5,4,City,486.21,Completa,Yes,No,Yes,Cobertura,No,2.39,1181964.07
PROP00120,113.68,4,3,2,Zona Norte,2,1,None,250.01,Básica,YES,Yes,Yes,Apartamento,Yes,2.85,1121609.88
PROP02507,85.51,2,4,1,Zona Sul,24,1,None,787.51,Completa,Yes,No,Yes,Apartamento,No,4.71,801769.97
PROP01520,132.27,4,1,2,Centro,7,7,None,86.62,Completa,No,No,Yes,Casa,No,,1130369.38
PROP00832,56.99,2,3,0,Zona Leste,6,18,None,806.11,Completa,Yes,Yes,No,Apartamento,No,1.57,818235.05
PROP00237,121.22,2,3,2,Centro,36,14,None,243.12,Premium,No,No,Yes,Apartamento,No,1.12,1027347.65
PROP00018,127.6,2,2,1,Subúrbio,35,,,216.0,Básica,Yes,No,No,Casa,No,5.79,849671.48
PROP02059,116.95,3,4,3,Zona Oeste,27,0,None,574.61,Completa,No,No,Yes,Casa,No,0.32,1057061.09
PROP00644,,2,4,1,Zona Sul,1,0,City,568.27,Básica,No,No,Yes,Apartamento,No,1.1,1091868.16
PROP01264,105.29,3,1,1,Zona Sul,32,15,City,613.67,Básica,No,No,NO,Apartamento,No,2.96,712158.8
PROP02389,102.94,2,2,1,Centro,1,0,None,81.05,Premium,Yes,No,Yes,Casa,No,2.25,1017595.89
PROP00617,130.45,4,3,1,Subúrbio,36,5,Park,933.32,Básica,Yes,No,No,Cobertura,No,1.96,868356.33
PROP00635,88.88,3,2,2,Zona Norte,49,12,None,397.64,Básica,No,No,Yes,Casa,Yes,2.53,742603.77
PROP00582,128.2,4,3,3,Centro,22,16,City,58.0,Completa,No,No,No,Casa,No,,1385520.35
PROP02475,143.2,0,2,3,Zona Norte,37,15,City,68.3,Básica,Yes,Yes,No,Casa,No,1.96,1149039.1
PROP01061,59.0,4,3,2,Subúrbio,19,9,None,576.04,Completa,Yes,No,Yes,Apartamento,No,0.06,943162.46
PROP01431,100.52,3,2,4,Zona Oeste,44,19,None,819.27,Premium,Yes,No,Yes,Casa,No,0.68,995015.07
PROP01874,166.1,4,3,3,Zona Norte,38,10,None,405.1,Básica,Yes,Yes,Yes,Apartamento,No,2.17,1127267.79
PROP01483,96.2,2,2,3,Zona Leste,0,,Park,1118.2,Completa,No,No,No,Apartamento,No,0.51,809878.66
PROP00536,,2,5,1,Zona Sul,24,13,City,700.27,Completa,No,No,No,Apartamento,No,,988091.51
PROP02346,52.15,1,3,1,Zona Sul,16,,None,265.04,Completa,No,No,No,Apartamento,Yes,,762653.33
PROP00619,149.88,3,2,2,  Zona Norte ,44,2,None,197.66,Básica,No,No,Yes,Apartamento,No,4.61,795254.99
PROP01963,84.62,3,2,3,Zona Sul,22,16,None,258.9,Completa,Yes,No,No,Apartamento,No,1.48,1195296.72
PROP00398,107.91,3,1,1,Zona Sul,49,19,None,208.67,Premium,Yes,Yes,No,Casa,No,1.4,1219356.99
PROP00859,100.74,2,3,0,Zona Sul,21,,Park,,Premium,Yes,Yes,No,Apartamento,No,3.52,1050789.52
PROP01649,50.64,1,3,2,Subúrbio,0,0,None,843.33,Completa,Yes,No,No,Apartamento,No,2.39,510051.85
PROP01092,112.04,2,2,1,Zona Norte,17,12,None,383.69,Completa,No,  Yes ,No,Apartamento,No,,879856.83
PROP01893,82.27,3,3,1,Zona Oeste,50,11,Sea,849.79,Completa,Yes,No,Yes,Casa,No,1.93,839312.57
PROP02312,,3,2,2,Subúrbio,30,,,897.24,Completa,No,No,No,Apartamento,No,2.92,770924.75
PROP00113,93.98,4,3,1,Zona Sul,7,14,None,405.73,Completa,No,No,No,Apartamento,No,0.53,1124834.2
PROP00594,114.59,1,3,1,Zona Sul,42,5,Park,252.23,Completa,Yes,No,No,Casa,No,1.21,1014822.97
PROP01442,132.05,2,2,1,Zona Leste,48,17,,259.57,Premium,No,Yes,No,Casa,Yes,0.29,1088415.75
PROP01380,77.74,4,1,1,Centro,41,,Park,540.8,Básica,Yes,No,No,Casa,No,1.58,845994.3
PROP02306,105.55,3,3,1,Zona Norte,48,9,None,365.88,Básica,Yes,Yes,Yes,Apartamento,Yes,1.5,827224.95
PROP01040,121.54,2,2,1,Zona Norte,5,2,City,516.52,Básica,Yes,No,No,Apartamento,No,3.29,755653.95
PROP02500,51.94,3,3,1,Zona Oeste,28,18,None,169.74,Premium,No,No,No,Apartamento,No,,929453.51
PROP00198,154.23,2,2,2,Zona Sul,36,,None,461.49,Básica,No,No,Yes,Apartamento,No,1.53,925695.42
PROP00765,137.81,4,2,0,Zona Sul,18,6,City,221.09,Básica,No,No,No,Casa,No,,982348.8
PROP01900,123.22,3,4,2,Centro,8,11,City,559.87,Completa,Yes,No,Yes,Apartamento,No,3.17,1173681.09
PROP01127,5.27,3,2,2,Centro,31,0,City,612.87,Premium,Yes,No,No,Apartamento,No,1.97,831642.24
PROP02164,,3,1,2,Zona Leste,28,2,None,1020.22,Completa,Yes,No,Yes,Apartamento,NO,0.78,827501.37
PROP01892,147.06,6,2,0,Zona Sul,35,,,20.4,Básica,No,No,Yes,Casa,No,2.65,1117578.58
PROP02317,83.89,4,3,3,Zona Sul,11,1,None,53.13,Básica,No,Yes,Yes,Casa,No,2.92,1185214.51
PROP00090,77.21,2,1,0,Zona Sul,10,1,None,481.72,Básica,Yes,No,No,Casa,No,,578467.94
PROP01425,8.92,2,3,2,Zona Leste,47,9,None,460.31,Básica,No,No,Yes,Apartamento,Yes,0.38,581734.83
PROP02313,33.15,3,4,3,Zona Oeste,32,11,None,284.35,Básica,Yes,Yes,Yes,Casa,Yes,0.54,888921.6
PROP01571,,2,2,2,Zona Leste,44,14,None,510.6,Premium,Yes,No,Yes,Apartamento,No,2.03,932023.47
PROP01067,79.39,2,1,3,Zona Norte,5,10,,511.26,Completa,No,Yes,Yes,Apartamento,No,1.95,993595.76
PROP01534,26.28,2,1,2,Zona Sul,10,0,None,68.0,Básica,Yes,No,No,Casa,Yes,0.43,686275.16
PROP00054,24.01,4,2,2,Zona Norte,33,19,City,289.99,,Yes,No,No,Cobertura,No,3.27,782974.29
PROP01757,85.9,1,2,1,Zona Leste,26,7,Park,824.19,Completa,No,No,No,Cobertura,No,0.14,565481.09
PROP00144,122.77,1,1,0,Centro,14,6,None,375.04,,No,No,No,Apartamento,No,4.07,784838.1
PROP00438,108.53,3,2,1,Zona Norte,0,17,None,792.23,Básica,No,No,Yes,Apartamento,No,0.36,682377.2
PROP01987,141.08,2,4,1,Zona Norte,50,11,City,917.71,Básica,Yes,No,Yes,Apartamento,No,2.18,787779.28
PROP02435,101.39,1,3,1,Subúrbio,29,19,None,652.26,Completa,No,No,No,Casa,Yes,1.34,595985.66
PROP02333,96.69,2,1,2,Subúrbio,17,20,Park,305.41,Premium,Yes,Yes,No,Casa,Yes,,1057335.93
PROP01368,104.39,2,3,3,Zona Norte,17,16,City,723.73,Básica,No,No,No,Apartamento,Yes,0.07,670713.05
PROP00402,,3,2,2,Zona Oeste,8,11,None,69.11,,Yes,No,No,Casa,No,0.23,984080.89
PROP01905,,2,3,2,Zona Norte,37,8,CITY,,,No,No,No,Apartamento,No,0.77,846667.77
PROP01792,94.19,1,2,2,Centro,46,1,None,653.14,Básica,Yes,Yes,Yes,Casa,No,0.73,700601.61
PROP00396,145.57,4,1,1,Zona Norte,46,10,None,469.84,Básica,No,No,Yes,Apartamento,No,1.99,698774.69
