sale_id,marketing_spend,website_traffic,conversion_rate,avg_product_rating,discount_percentage,num_products,avg_price,customer_reviews,return_rate,product_category,competition_level,seasonality,free_shipping,payment_methods,mobile_traffic_pct,monthly_sales
SALE02277,4875.92,13178,,3.43,10,148,68.71,598,8.15,Fashion,Medium,Medium,Yes,Bank Transfer,60.66,7293.69
SALE01364,9076.76,3802,5.38,,30,100,191.5,608,8.49,ELECTRONICS,High,High,Yes,PayPal,68.3,9114.56
SALE01644,4869.65,13421,7.62,4.34,10,319,277.49,728,9.78,Electronics,Medium,Medium,Yes,Debit Card,67.35,7651.85
SALE00498,,13239,5.1,3.0,15,454,210.79,547,12.18,Fashion,High,Medium,Yes,Bank Transfer,74.44,7079.6
SALE00291,5365.72,16260,7.33,3.19,25,62,288.28,516,9.11,Fashion,High,Medium,No,PayPal,74.25,8089.43
SALE00809,1248.64,18123,6.16,3.05,20,284,63.03,648,11.46,Fashion,Medium,Low,No,Bank Transfer,57.0,7505.88
SALE00861,6661.06,15442,5.84,2.55,15,222,44.29,,4.89,Fashion,High,High,Yes,Credit Card,60.79,7899.02
SALE01949,6185.69,15124,4.58,2.99,25,373,109.96,904,8.15,Fashion,High,Low,Yes,Credit Card,83.15,8089.0
SALE00235,117.86,25177,7.23,2.39,10,112,184.15,389,5.32,Home,Medium,Medium,Yes,Debit Card,78.04,7144.69
SALE00403,3109.96,13825,,3.82,0,161,85.63,,8.36,Electronics,Low,Medium,Yes,Credit Card,73.88,6561.41
SALE01600,2065.59,16944,6.31,3.03,10,116,12.61,411,8.71,Books,Medium,Medium,Yes,Debit Card,74.65,7332.39
SALE00517,5243.12,11034,6.65,1.71,15,215,194.75,179,10.06,BOOKS,Medium,High,Yes,PayPal,77.5,8090.47
SALE01349,9159.71,12638,4.95,3.2,15,64,189.91,271,6.95,Home,Medium,Medium,Yes,Bank Transfer,63.86,8168.95
SALE01895,2482.16,,7.21,3.22,25,378,239.07,883,6.98,Fashion,Medium,Low,No,Debit Card,82.41,7328.92
SALE00162,5707.14,24719,8.45,,10,136,84.94,485,8.49,Electronics,Medium,Low,Yes,Bank Transfer,76.06,8937.08
SALE00045,4357.33,24725,6.96,4.01,15,94,148.18,528,7.19,Books,Medium,Medium,No,Bank Transfer,64.31,8010.41
SALE00943,5771.4,18610,6.91,3.37,10,454,132.96,812,7.84,Home,Medium,Medium,Yes,Debit Card,81.57,6875.8
SALE01195,4213.03,16215,6.48,3.79,10,172,133.65,23,11.24,Home,Medium,Medium,Yes,Bank Transfer,72.17,7644.69
SALE02346,5191.6,6816,6.06,1.9,25,470,36.8,1,9.02,Electronics,Medium,High,Yes,Credit Card,69.83,7684.97
SALE00814,3104.28,21071,6.0,3.36,15,329,299.24,,,Electronics,Medium,Medium,Yes,Debit Card,66.18,7414.77
SALE02220,2975.46,11850,5.65,3.03,5,210,148.99,777,7.88,Home,Medium,Low,Yes,Credit Card,67.39,7301.3
SALE00551,,11897,5.21,2.12,20,296,109.78,,10.39,Home,Medium,High,Yes,Bank Transfer,70.15,7534.68
SALE02496,68423.61,7144,4.76,3.76,20,286,188.05,,7.47,Fashion,High,High,Yes,Credit Card,81.96,7739.41
SALE00330,6517.14,20588,5.97,2.49,25,463,125.81,57,9.75,Home,Medium,Medium,Yes,Debit Card,82.18,8822.25
SALE00295,2142.88,11999,5.32,3.51,10,293,258.04,54,10.84,Home,High,Medium,Yes,Credit Card,65.49,6626.42
SALE02362,3959.12,12403,6.34,2.52,10,214,200.25,843,7.22,Sports,Medium,Medium,No,PayPal,54.2,7319.97
SALE00855,4572.49,16459,5.61,2.69,10,372,169.43,713,8.0,Books,Low,High,Yes,PayPal,80.55,7061.4
SALE01016,6828.47,16466,5.84,2.12,15,125,82.26,655,8.37,Home,Medium,Medium,Yes,Bank Transfer,67.18,7942.07
SALE00268,2934.92,19197,6.19,3.19,10,441,21.76,784,9.46,Fashion,Medium,Medium,Yes,Credit Card,70.63,6277.66
SALE01984,5664.37,27355,5.55,3.06,15,187,232.08,361,6.96,Electronics,Medium,Medium,Yes,Credit Card,65.51,7884.09
SALE01646,3535.23,19081,5.3,3.08,10,69,94.99,661,8.38,Electronics,High,Medium,No,PayPal,62.26,6149.2
SALE02498,6737.73,18515,4.29,3.12,10,224,57.44,812,7.6,Electronics,Medium,Low,Yes,PayPal,65.84,7049.23
SALE01652,2552.03,20036,4.27,3.06,10,172,116.32,694,6.5,Fashion,Low,Medium,Yes,Credit Card,55.66,7609.53
SALE01586,6273.72,17021,6.3,2.11,30,263,136.25,344,8.8,Home,  Medium ,High,Yes,Debit Card,58.69,7992.73
SALE02400,2856.98,6147,3.3,3.23,10,183,137.42,871,7.92,Books,Low,Medium,Yes,Bank Transfer,66.82,6736.64
SALE00413,6493.74,23592,4.78,2.78,10,381,60.53,121,8.65,Sports,Medium,Medium,Yes,Bank Transfer,64.04,7058.15
SALE02273,2800.7,22207,5.51,3.42,30,17,285.49,226,10.35,Fashion,Low,Medium,Yes,PayPal,81.17,8549.79
SALE02218,4201.06,19048,4.29,3.24,20,277,8.7,833,10.54,Sports,High,Low,Yes,Credit Card,63.66,7643.22
SALE00794,4165.2,21672,3.47,,15,365,240.5,376,10.86,Electronics,Medium,Low,No,Bank Transfer,82.29,7908.73
SALE00278,4656.12,9586,6.47,2.65,15,377,121.99,865,9.56,Fashion,High,Medium,No,PayPal,80.35,9025.92
SALE02287,1640.31,10433,5.46,3.25,25,163,172.3,,6.73,Home,High,Medium,No,Credit Card,58.7,7498.55
SALE02317,4298.9,20920,3.58,2.74,0,44,29.29,135,8.96,Books,Medium,Medium,Yes,PayPal,60.98,6400.02
SALE02169,7128.85,13086,4.91,2.49,30,256,233.83,,6.67,Fashion,Medium,High,No,PayPal,77.92,8778.25
SALE00524,5427.43,11574,6.16,,15,337,222.33,865,9.16,Home,  High ,Medium,No,PayPal,68.43,7992.97
SALE01333,6221.69,19665,6.52,3.21,5,203,51.2,582,6.07,Fashion,Medium,High,Yes,PayPal,66.68,8178.56
SALE01705,7237.0,13518,6.13,2.23,15,346,175.85,183,9.52,Electronics,Medium,Medium,No,PayPal,58.88,8151.43
SALE01409,8952.72,16534,5.42,2.99,10,195,6.32,700,9.27,Sports,Medium,High,No,Bank Transfer,73.12,8829.59
SALE01579,7413.28,,6.06,2.15,10,324,35.29,,9.85,Electronics,Low,Medium,Yes,Bank Transfer,66.88,8269.9
SALE02026,6458.9,,,2.18,10,186,133.81,472,6.75,  Home ,Medium,Low,No,Bank Transfer,69.07,7754.75
SALE00591,7614.78,,5.3,2.76,15,393,190.27,945,9.06,Fashion,Medium,High,No,Debit Card,70.48,8001.2
SALE01345,5064.47,10297,8.52,3.19,10,262,86.19,89,10.51,Fashion,Medium,Medium,No,PayPal,64.09,8624.92
SALE00552,1901.72,18403,3.86,1.93,30,141,119.16,83,10.93,Home,Medium,High,No,PayPal,73.57,7190.46
SALE00787,4817.43,,7.43,2.2,15,183,123.94,845,10.84,Home,Low,High,Yes,PayPal,75.56,8569.46
SALE01718,5376.33,18329,5.86,3.43,10,386,15.24,471,8.15,Sports,Medium,Medium,No,Debit Card,65.43,8546.94
SALE01431,4988.34,7866,5.63,2.65,15,401,216.94,150,8.93,Home,Medium,Medium,No,PayPal,78.19,7311.04
SALE00945,4575.14,6547,5.88,3.35,10,28,285.19,704,7.28,Books,High,Medium,Yes,Bank Transfer,75.54,7387.33
SALE01589,,21591,6.71,3.44,10,433,199.64,984,10.55,Fashion,Medium,High,Yes,PayPal,65.37,7583.26
SALE00613,8604.77,14588,6.43,3.33,30,415,84.2,871,,Electronics,Medium,Low,Yes,PayPal,72.91,8978.88
SALE01974,8374.91,10181,5.34,2.52,15,453,57.29,315,7.64,Home,High,Medium,Yes,Credit Card,81.48,8151.03
SALE02344,5829.75,23815,4.74,2.03,15,396,84.66,982,9.46,Electronics,Medium,Medium,Yes,Debit Card,52.21,7906.57
SALE01724,2304.86,4820,5.68,3.83,0,212,59.59,748,9.19,Books,Medium,Medium,Yes,Credit Card,71.36,6596.42
SALE00541,4869.57,19097,6.99,3.13,10,288,64.58,562,8.37,Fashion,Medium,Medium,Yes,Bank Transfer,72.41,7613.17
SALE02151,5321.36,15321,6.29,3.04,10,221,144.12,427,6.51,Fashion,Medium,Medium,No,PayPal,69.94,7833.19
SALE01862,5387.63,12642,4.83,1.77,10,342,14.49,539,11.44,Home,High,Low,Yes,Debit Card,74.57,6925.79
SALE01918,2929.3,,6.49,2.2,15,464,178.9,456,10.84,Electronics,High,Medium,Yes,Credit Card,70.78,6874.15
SALE01102,1220.88,16532,,2.92,10,46,118.06,234,,Home,High,High,No,Debit Card,65.91,6711.66
SALE02259,5137.07,23475,5.2,3.22,10,68,337.77,782,7.83,Fashion,Low,Medium,No,PayPal,69.49,8271.89
SALE00567,8440.93,,3.55,2.75,15,126,163.1,192,8.59,Sports,High,High,Yes,Credit Card,63.81,8314.53
SALE00216,8396.66,15376,6.55,,10,69,48.91,,9.15,Books,High,High,Yes,Credit Card,66.33,7925.83
SALE00176,3226.4,20031,5.69,2.86,10,21,83.43,105,6.69,Electronics,Medium,Low,Yes,Credit Card,68.47,7037.04
SALE01217,2449.29,20399,23.05,3.52,5,240,93.55,51,7.0,Fashion,High,Medium,No,Bank Transfer,64.18,6801.39
SALE00973,5474.73,24760,,4.03,15,377,73.35,543,,Home,Low,Medium,No,PayPal,64.1,8421.99
SALE01295,8600.41,19995,4.71,3.44,10,231,23.06,993,11.19,Fashion,Medium,Low,Yes,Bank Transfer,75.95,7246.42
SALE01143,,21768,6.74,2.7,20,405,136.33,274,8.19,Home,Medium,Medium,No,Debit Card,77.74,8391.74
SALE01624,3681.72,13067,5.99,2.43,25,136,116.98,,9.35,  Fashion ,High,Low,Yes,Credit Card,63.88,8705.47
SALE02471,,20486,4.77,3.38,5,499,216.13,,7.74,ELECTRONICS,Low,Medium,Yes,PayPal,70.33,6550.04
SALE00867,4289.42,13107,4.46,,15,160,142.12,873,10.11,Home,Medium,Low,No,Debit Card,73.88,7482.79
SALE01762,3522.73,12763,5.7,2.97,5,131,276.81,620,9.86,  Sports ,Medium,Low,Yes,Debit Card,69.63,6378.83
SALE01063,5722.72,10871,8.12,3.57,15,286,45.49,766,9.78,Fashion,Medium,Medium,No,Credit Card,72.82,8424.46
SALE01371,8884.41,12117,4.77,3.5,15,87,171.78,7,7.38,Books,High,Medium,Yes,PayPal,64.92,8536.17
SALE00266,3051.76,10522,5.21,2.75,10,413,50.54,52,11.17,Books,Medium,Low,No,Bank Transfer,68.47,7174.2
SALE00600,3954.25,13071,,3.65,5,259,257.44,526,6.91,Home,Medium,Medium,No,Credit Card,60.09,6618.81
SALE01844,3140.4,,5.31,2.63,15,263,162.93,621,7.6,Home,Low,Low,Yes,Debit Card,54.73,7347.82
SALE00082,6477.86,22547,4.81,3.73,25,452,246.25,553,,Books,High,Medium,Yes,PayPal,71.54,7650.92
SALE02082,1594.12,15043,6.71,3.01,15,475,186.74,13,8.02,Fashion,Medium,Medium,Yes,Bank Transfer,69.6,7784.83
SALE01921,-631.01,19639,5.31,3.71,10,29,109.04,973,8.35,Home,Medium,Medium,No,Debit Card,71.77,7577.28
SALE00014,,17089,5.47,3.35,10,30,146.24,618,9.55,Sports,Medium,Medium,No,Bank Transfer,76.96,7348.89
SALE02510,7487.35,18987,5.81,3.32,30,22,122.99,843,9.19,Books,High,Low,Yes,Bank Transfer,79.95,8661.58
SALE01937,5821.3,19425,5.57,3.1,10,91,59.74,143,9.84,Sports,Medium,Medium,No,Bank Transfer,73.14,7153.92
SALE00985,3585.91,14908,3.81,2.91,20,421,191.95,453,8.19,Fashion,High,Medium,Yes,PayPal,69.05,7113.77
SALE00875,5817.81,22068,4.97,3.66,10,245,103.23,559,9.97,Electronics,High,Low,No,PayPal,78.96,8270.1
SALE00672,4349.03,20115,5.63,2.93,25,133,203.28,,11.18,Electronics,LOW,Low,Yes,Bank Transfer,69.11,8419.92
SALE01682,,13723,6.51,2.55,30,16,127.75,,6.3,Books,Medium,Medium,Yes,Debit Card,59.24,8884.63
SALE00893,4093.5,15427,5.41,2.65,10,158,217.04,315,9.21,Fashion,Low,High,Yes,Bank Transfer,72.19,7665.21
SALE00241,,12439,,3.2,25,386,284.87,911,11.1,Sports,High,Medium,Yes,Credit Card,62.25,8261.15
SALE02373,6337.43,6227,,3.23,10,112,203.52,324,9.68,Fashion,High,Medium,Yes,PayPal,68.48,6999.89
SALE00724,65820.5,15824,4.55,2.46,10,475,182.46,,11.9,Books,High,Medium,No,Bank Transfer,73.53,7167.09
SALE00033,8806.05,13816,4.51,2.57,10,255,46.32,634,10.1,Fashion,Medium,Medium,No,Bank Transfer,71.31,7758.8
SALE00127,2238.8,15999,6.35,3.04,5,247,83.82,259,9.32,Sports,Medium,Medium,No,Bank Transfer,80.47,6628.25
SALE01120,4205.13,,5.75,,10,136,13.41,105,10.05,Books,High,Low,Yes,Credit Card,76.29,7646.26
SALE02003,7880.9,17196,5.3,2.87,10,423,81.35,495,,Fashion,Low,Medium,Yes,Bank Transfer,72.9,8341.09
SALE02332,3369.4,14553,5.6,3.84,10,138,194.33,990,6.69,Fashion,Medium,Medium,Yes,Bank Transfer,52.24,7442.03
SALE00653,5068.36,11254,4.29,1.76,10,132,147.53,397,6.13,Fashion,Medium,Low,Yes,PayPal,66.98,7546.82
SALE01015,7683.59,,6.38,2.43,10,425,286.6,,9.41,Sports,Medium,Low,Yes,PayPal,78.19,7161.28
SALE00012,3957.06,7624,6.4,3.5,15,166,100.76,566,9.7,Home,High,High,Yes,Debit Card,64.87,6299.09
SALE02087,4745.94,12679,5.63,2.54,10,221,223.14,485,,Home,Low,High,Yes,Debit Card,60.45,7349.21
SALE02330,5247.53,11302,4.86,3.31,10,198,187.86,307,9.8,Fashion,Medium,High,No,Debit Card,71.56,7802.99
SALE00055,2578.36,16374,4.63,2.53,10,129,164.85,672,8.11,Electronics,Medium,Medium,No,PayPal,62.68,6745.93
SALE02383,1923.8,17819,6.53,2.65,15,184,105.58,832,10.92,Books,Medium,Medium,No,PayPal,77.43,8118.11
SALE01640,9158.39,12837,4.5,,30,202,106.26,290,10.69,Fashion,High,Low,Yes,PayPal,68.58,8819.99
SALE00617,3567.41,12678,5.49,3.62,10,276,132.98,788,6.99,Books,High,Medium,No,Bank Transfer,77.71,8297.58
SALE00693,6747.19,11624,5.6,2.92,10,236,35.37,997,6.72,Electronics,Medium,Low,Yes,Debit Card,82.19,7992.25
SALE00246,5396.24,,6.44,3.67,10,391,142.36,383,8.05,Books,High,High,No,Bank Transfer,76.07,6973.51
SALE00341,4843.71,20585,7.45,3.68,15,426,247.74,58,8.3,Fashion,Low,LOW,Yes,Debit Card,50.05,8703.07
SALE00570,4969.55,15286,7.16,3.42,15,429,127.59,594,8.02,Fashion,High,Medium,No,PayPal,77.98,8727.04
SALE00650,6908.66,9765,6.89,2.87,25,182,210.17,23,8.46,Fashion,Medium,Medium,No,Bank Transfer,58.7,8514.55
SALE02402,6375.25,12987,3.88,3.35,30,387,154.83,617,10.8,Fashion,Medium,Low,Yes,Debit Card,69.57,8314.98
SALE01655,6119.91,12634,5.82,3.17,25,433,136.94,818,9.51,Fashion,Medium,Medium,No,Bank Transfer,66.47,8946.54
SALE01096,6246.22,18609,5.41,2.87,5,352,305.83,201,11.53,Sports,High,Low,No,Credit Card,69.75,8073.2
SALE00742,4710.17,11572,5.69,3.48,30,289,124.99,611,5.78,Fashion,Medium,Medium,No,Credit Card,62.78,9237.38
SALE00275,5800.74,15670,4.89,3.26,10,74,154.64,717,9.57,Electronics,Medium,Low,No,Credit Card,65.58,7813.01
SALE00884,7001.36,17321,3.52,3.19,10,205,237.1,993,6.91,Fashion,Medium,Medium,No,Bank Transfer,70.73,7674.39
SALE00556,5453.52,6557,7.86,2.76,25,214,224.78,,7.89,Sports,High,High,Yes,Bank Transfer,74.25,8918.89
SALE01811,4458.91,17536,5.22,3.69,25,316,169.39,699,5.3,Home,High,Low,No,PayPal,66.39,7011.93
SALE00333,9167.33,,6.71,3.26,5,449,175.83,645,7.83,Fashion,High,Low,Yes,Debit Card,54.41,7931.23
SALE01561,5277.31,19748,5.8,3.36,10,482,245.75,841,8.38,Electronics,Medium,High,No,Bank Transfer,75.34,7980.04
SALE00199,6226.41,8530,5.24,3.3,10,439,206.86,234,8.1,Home,Medium,Medium,Yes,Debit Card,66.37,7757.47
SALE01502,3667.65,11540,6.62,,10,39,75.57,164,9.3,Home,Medium,Low,Yes,Credit Card,62.85,7376.74
SALE00749,,7349,6.21,2.26,15,145,108.32,,7.27,Sports,Low,Medium,No,Debit Card,68.12,8073.39
SALE02179,6310.08,11773,6.48,2.67,10,217,221.83,195,8.33,Electronics,Medium,Medium,Yes,PayPal,46.28,7861.6
SALE00480,3899.42,5073,,2.75,30,427,149.13,423,11.74,Electronics,Medium,Low,No,Credit Card,78.96,8433.1
SALE01290,,12092,3.34,2.68,20,416,55.75,588,5.62,Electronics,Medium,Low,No,Credit Card,67.21,7762.46
SALE01956,1132.84,15717,5.11,2.81,10,186,204.8,330,6.28,Fashion,  High ,Low,Yes,Bank Transfer,61.93,6275.54
SALE02361,4709.05,14544,6.27,2.44,10,50,97.61,578,,Home,Medium,Low,Yes,Debit Card,62.09,7423.79
SALE01687,4000.85,17483,5.14,3.3,15,494,155.34,450,6.84,Electronics,Medium,Low,No,PayPal,57.5,8205.59
SALE01513,3945.09,18245,5.0,3.9,15,294,125.33,440,8.7,Fashion,Medium,Medium,Yes,PayPal,59.39,7544.41
SALE01905,4257.6,20473,5.04,2.05,15,470,121.72,33,8.16,Sports,Medium,Medium,No,Credit Card,67.99,7686.66
SALE01875,5693.28,20792,5.26,3.08,20,31,163.7,131,7.59,Books,Medium,Low,Yes,Bank Transfer,75.13,9059.29
SALE01931,3414.67,17710,4.34,2.48,15,118,121.78,489,9.02,Fashion,Medium,High,Yes,Credit Card,61.9,7217.84
SALE00911,2840.35,20416,4.54,2.38,15,38,172.25,29,11.43,Home,High,High,Yes,Credit Card,74.35,7364.55
SALE01378,2973.51,,4.24,3.29,10,342,164.84,158,6.81,Electronics,High,Medium,No,Debit Card,66.37,6225.59
SALE02010,5654.17,17673,5.49,1.75,10,445,175.06,904,,Fashion,Low,Medium,No,Credit Card,71.82,7920.17
SALE02159,4238.1,8300,7.14,,15,355,114.44,979,9.7,Electronics,Medium,High,No,Debit Card,67.88,7777.03
SALE01041,1908.69,21263,5.85,3.97,30,245,178.7,923,,Electronics,Low,Medium,No,Bank Transfer,75.45,8646.3
SALE01603,5663.54,20036,6.42,2.51,25,240,35.2,307,9.98,Books,High,Medium,Yes,Credit Card,62.01,8271.61
SALE01104,7432.99,13573,4.3,1.98,10,496,168.54,559,11.4,Books,Medium,Low,No,PayPal,66.98,8074.03
SALE01546,5407.42,17252,5.19,2.96,15,146,112.39,276,8.4,ELECTRONICS,Low,Medium,Yes,Bank Transfer,61.24,7491.46
SALE01689,3968.37,14931,5.42,3.51,0,353,46.56,516,7.29,Home,Medium,Medium,Yes,PayPal,67.28,7661.1
SALE01042,3586.53,7082,,2.75,10,170,178.5,327,8.91,Books,Medium,Medium,No,Bank Transfer,69.9,6133.83
SALE01532,4216.15,11128,4.75,2.73,5,46,152.2,,9.15,Sports,Low,High,No,PayPal,62.46,8102.93
SALE00740,2292.14,17191,6.56,2.86,10,308,243.65,300,9.55,Books,High,Low,Yes,Debit Card,73.41,7168.68
SALE02406,4944.63,9034,4.7,3.1,0,363,138.47,992,9.15,Fashion,Medium,High,Yes,Debit Card,81.33,6297.62
SALE00833,4731.25,17773,3.78,2.78,10,352,196.74,781,8.55,Electronics,Low,Low,Yes,Debit Card,61.16,6594.35
SALE02016,4532.05,12123,4.41,3.72,20,150,206.65,974,,Fashion,Medium,High,Yes,Bank Transfer,59.5,7493.83
SALE00062,4495.97,,6.56,2.03,10,123,105.19,487,8.59,Home,High,Low,No,PayPal,67.53,6873.2
SALE02184,5188.06,18483,7.35,2.49,10,113,24.19,665,8.64,Electronics,Medium,High,Yes,Debit Card,68.55,7724.41
SALE00545,,10172,3.26,3.23,0,400,150.24,975,6.91,Home,Medium,High,No,Debit Card,68.8,6549.06
SALE01990,5951.71,10542,3.99,3.46,15,74,79.11,187,10.92,Sports,Low,Medium,Yes,Credit Card,62.83,7724.73
SALE02165,9067.6,129678,,2.51,10,142,25.86,659,11.17,Books,Low,Medium,No,Credit Card,66.27,7999.13
SALE00349,5430.97,22445,6.04,3.29,10,498,101.04,782,9.74,Fashion,Medium,Medium,Yes,Bank Transfer,65.34,7211.65
SALE01595,4609.77,23210,3.17,2.65,15,435,282.96,962,9.82,Electronics,Low,Medium,No,Debit Card,67.94,6645.11
SALE01271,72950.86,18925,5.78,2.69,10,33,103.63,180,11.11,Sports,Medium,Low,No,Debit Card,77.86,8223.11
SALE01479,3778.3,21782,6.08,3.56,20,136,184.73,967,10.76,Electronics,Medium,High,Yes,Debit Card,70.96,8139.84
SALE00710,3770.81,10564,6.15,2.41,15,485,153.92,385,8.94,Home,Medium,Low,No,PayPal,65.98,7471.38
