house_id,house_area_sqm,num_residents,num_appliances,air_conditioning,heating_system,energy_efficiency_rating,avg_temperature,home_office_hours,has_pool,solar_panels,house_age_years,insulation_quality,num_rooms,electric_car,smart_thermostat,monthly_consumption_kwh
HOUSE00558,146.14,4,21,1,None,A,10.04,8,No,No,44,Average,7,No,No,408.33
HOUSE00417,128.1,4,26,3+,Gas,C,23.45,10,No,No,1,Poor,1,No,No,585.18
HOUSE00821,127.09,4,15,2,Electric,B,34.16,4,Yes,No,49,Average,1,No,No,491.36
HOUSE00795,36.46,5,9,None,Gas,B,14.64,0,No,Yes,37,Good,2,No,No,286.68
HOUSE02293,143.36,3,,2,Gas,D,33.55,0,No,No,21,Good,3,No,Yes,483.44
HOUSE00479,84.38,2,15,1,Electric,C,18.35,8,No,No,45,Average,7,No,No,407.2
HOUSE01394,,10,24,2,Gas,C,13.47,8,Yes,No,29,Good,1,No,No,617.36
HOUSE00531,89.41,1,15,None,Solar,D,24.12,8,No,No,4,Average,7,No,Yes,241.09
HOUSE01808,145.79,4,9,None,Electric,B,18.98,0,No,Yes,25,Poor,3,No,No,363.46
HOUSE01266,156.41,7,22,None,Solar,E,19.65,0,Yes,No,1,Good,6,No,No,657.91
HOUSE01546,216.32,2,13,2,Electric,D,11.65,4,Yes,No,,Average,2,No,No,496.94
HOUSE00047,136.67,3,9,1,Gas,C,10.84,0,No,No,9,Average,6,No,No,378.63
HOUSE02038,130.44,2,11,2,None,C,37.28,4,No,No,43,Average,8,No,No,377.69
HOUSE01941,136.65,3,27,None,Gas,B,10.73,0,No,No,16,Good,6,No,Yes,389.0
HOUSE01240,218.71,4,27,2,Solar,C,40.74,,No,No,25,Average,5,No,No,508.17
HOUSE02210,291.78,4,10,None,Electric,C,37.36,0,No,No,31,Good,4,No,No,428.78
HOUSE02300,158.35,3,10,None,None,C,27.11,,No,Yes,50,Good,6,No,No,230.06
HOUSE01559,154.39,2,7,None,Electric,C,11.97,0,No,No,15,Poor,8,No,No,330.37
HOUSE01026,62.07,3,22,1,Electric,C,21.88,8,No,No,42,Average,1,No,No,495.46
HOUSE01582,178.91,2,6,1,Gas,D,25.93,8,No,No,15,Average,3,No,No,333.26
HOUSE00167,225.46,4,25,None,Gas,D,17.7,8,No,No,5,Poor,7,No,No,491.14
HOUSE01834,51.82,5,11,3+,None,B,17.14,4,No,No,,Poor,2,No,No,412.16
HOUSE00842,94.95,4,7,None,None,D,,0,No,No,45,Average,6,No,No,355.55
HOUSE01985,168.33,1,72,None,None,B,9.67,,No,Yes,2,Good,8,No,No,134.75
HOUSE00828,244.29,3,15,None,Electric,D,20.73,0,No,No,23,Good,1,No,No,420.21
HOUSE01611,85.38,3,15,None,None,C,24.76,8,No,No,21,Good,1,No,Yes,310.55
HOUSE02244,131.31,3,21,None,Gas,B,27.56,0,No,No,18,Poor,20,No,Yes,306.13
HOUSE01268,112.84,3,17,None,Gas,D,21.85,,No,No,21,Average,4,No,Yes,400.04
HOUSE00992,197.47,2,20,None,None,D,19.95,0,No,No,19,Poor,1,No,No,336.0
HOUSE02143,154.27,5,24,2,Gas,D,17.96,8,No,No,19,,7,No,No,566.14
HOUSE00360,139.73,3,17,2,Electric,E,23.05,4,Yes,No,45,Good,8,No,No,524.97
HOUSE00733,220.56,4,11,None,Solar,D,27.47,0,Yes,No,8,Good,6,No,No,437.8
HOUSE01605,,3,50,1,Electric,D,17.41,4,No,No,49,Average,6,No,No,462.92
HOUSE01578,230.34,4,5,1,Electric,E,6.85,8,No,No,14,Good,4,No,Yes,505.43
HOUSE01588,213.47,3,18,2,Gas,B,,8,No,Yes,23,Poor,6,No,No,334.47
HOUSE00304,231.3,3,16,2,Gas,B,14.95,8,No,No,21,Average,8,No,No,411.01
HOUSE02218,199.91,4,15,None,Solar,B,17.41,,No,Yes,28,Poor,6,No,No,283.69
HOUSE00494,182.37,5,14,None,Gas,D,25.79,0,No,No,25,,2,No,No,450.22
HOUSE00061,174.92,4,9,None,Gas,C,16.65,0,No,No,26,Average,6,No,Yes,374.64
HOUSE01053,182.46,3,14,None,Gas,E,16.19,0,No,Yes,24,Average,6,Yes,No,303.73
HOUSE00441,111.03,3,22,1,Solar,B,11.26,0,No,No,29,Good,5,No,No,343.76
HOUSE01499,140.39,3,11,2,Solar,C,19.23,4,Yes,No,,Average,1,No,no,400.48
HOUSE02370,157.92,4,,1,Solar,B,6.05,0,No,No,17,Good,2,No,Yes,442.73
HOUSE01765,183.81,3,30,1,Electric,D,34.31,0,No,No,19,Average,8,No,No,523.32
HOUSE01464,153.06,1,22,1,Gas,D,28.23,8,No,No,0,Good,8,No,No,397.11
HOUSE01321,134.21,4,7,None,Gas,C,20.4,8,No,No,12,Average,7,No,No,351.95
HOUSE02021,231.32,7,24,None,Gas,C,21.81,8,No,Yes,9,Good,2,No,No,549.98
HOUSE02324,,4,29,None,Gas,C,15.54,8,Yes,No,4,Average,1,No,Yes,560.74
HOUSE01081,130.58,3,23,1,None,C,27.43,,No,No,27,Average,7,No,No,380.75
HOUSE00400,149.64,3,14,1,Electric,E,20.11,8,No,No,8,Good,6,Yes,No,466.27
HOUSE00152,84.63,4,7,None,Electric,C,17.76,8,No,No,29,Average,7,No,No,378.84
HOUSE00067,70.95,4,29,2,Electric,D,12.4,4,No,No,31,Average,2,No,Yes,554.73
HOUSE00803,129.35,4,25,1,  Solar ,D,31.6,0,No,No,12,,1,No,No,449.93
HOUSE01293,112.17,4,20,None,Electric,C,29.44,4,No,No,21,Average,1,No,Yes,488.01
HOUSE00707,,3,17,1,Gas,B,12.71,0,No,No,10,Good,3,Yes,Yes,356.69
HOUSE00085,192.39,6,21,2,Electric,B,,0,Yes,No,38,Average,4,No,No,621.82
HOUSE01940,82.47,1,30,None,None,A,26.35,0,No,No,20,Good,3,No,No,308.69
HOUSE00745,,3,18,None,Gas,C,18.91,,No,Yes,46,Good,3,No,No,345.56
HOUSE02267,702.04,4,9,1,Gas,B,17.94,0,No,No,38,Poor,7,No,Yes,378.63
HOUSE00168,154.01,2,14,1,Electric,B,38.21,0,No,No,18,Average,8,Yes,Yes,440.76
HOUSE00105,155.58,3,15,None,None,C,,8,No,No,11,Average,3,No,Yes,389.26
HOUSE01167,219.29,3,5,1,Gas,D,21.53,8,no,No,3,Poor,4,No,No,324.24
HOUSE02262,218.76,2,17,None,None,C,12.74,0,Yes,No,9,Poor,1,No,No,359.28
HOUSE01224,78.14,2,14,None,None,B,21.21,4,No,Yes,33,Average,3,No,No,167.55
HOUSE01369,112.52,3,13,None,None,B,13.29,0,No,Yes,7,Poor,5,No,Yes,217.16
HOUSE02100,261.64,2,24,2,Gas,C,27.67,0,No,Yes,45,,6,No,No,337.09
HOUSE01826,151.73,3,24,None,None,D,18.18,4,No,Yes,35,Average,1,No,No,304.2
HOUSE00916,133.47,3,15,1,Electric,D,6.03,8,Yes,Yes,36,Poor,4,No,Yes,505.26
HOUSE02402,134.04,2,18,2,None,A,29.78,0,Yes,No,19,Good,7,No,No,396.13
HOUSE02409,,4,9,1,None,B,25.6,0,No,No,47,Poor,5,No,No,351.38
HOUSE00830,158.12,3,5,None,Gas,B,14.75,,Yes,Yes,22,Average,1,No,No,280.63
HOUSE00727,124.7,2,11,2,Solar,C,21.96,8,No,No,2,Average,5,No,No,344.41
HOUSE00054,108.45,2,26,2,Solar,B,29.51,8,No,Yes,6,Average,3,No,Yes,317.96
HOUSE01527,80.2,2,7,1,Electric,D,35.56,10,No,No,34,Average,3,  No ,No,455.33
HOUSE01120,193.26,3,7,2,Electric,A,23.21,,No,No,45,Average,8,No,No,404.28
HOUSE01110,,3,12,2,Gas,D,7.19,4,No,Yes,2,Average,5,No,Yes,365.93
HOUSE00940,108.99,3,24,None,None,D,21.09,10,No,Yes,50,Average,3,No,Yes,311.6
HOUSE01844,133.07,2,11,1,Gas,D,19.79,10,No,No,50,Average,6,No,No,328.12
HOUSE00844,53.12,3,18,1,Electric,D,25.93,0,Yes,No,27,Average,6,No,Yes,491.15
HOUSE01724,111.45,3,30,None,Gas,B,34.35,8,No,No,0,Average,4,Yes,Yes,420.97
HOUSE01149,149.48,4,,2,None,C,20.22,0,No,No,21,Average,4,Yes,Yes,369.8
HOUSE02448,173.04,5,27,None,Gas,A,8.66,4,No,No,14,Average,1,No,No,521.65
HOUSE00928,,3,21,1,Gas,C,28.12,0,No,No,,Poor,3,No,No,443.17
HOUSE01863,,3,24,3+,Gas,E,25.14,8,No,No,20,Average,1,No,No,544.15
HOUSE01581,138.64,5,8,1,Gas,B,25.79,10,No,Yes,21,Poor,8,Yes,No,311.2
HOUSE02418,142.24,4,18,1,Solar,B,20.0,8,No,No,,Poor,8,No,Yes,396.28
HOUSE00113,171.29,4,22,2,Gas,B,1.49,8,No,No,43,Average,1,No,No,521.38
HOUSE01566,129.35,3,29,None,None,D,,0,No,Yes,9,Average,6,No,Yes,331.96
HOUSE00500,31.32,3,15,2,Gas,C,18.62,0,No,Yes,8,Good,8,No,No,349.72
HOUSE00567,202.51,3,10,2,None,D,23.84,8,No,Yes,22,Good,8,No,No,376.99
HOUSE01325,218.68,3,30,1,Electric,A,,4,No,Yes,31,Average,3,Yes,Yes,364.64
HOUSE02488,121.1,1,23,1,None,C,21.9,0,No,No,50,,8,No,No,306.51
HOUSE01392,179.16,3,12,1,Gas,B,37.77,4,No,No,50,Good,3,No,No,348.41
HOUSE01938,107.51,4,10,None,Gas,C,29.26,0,No,No,1,Average,3,Yes,Yes,367.95
HOUSE00035,180.51,4,17,1,Gas,D,38.39,,No,No,8,,5,No,No,488.95
HOUSE02037,,1,7,None,Gas,D,22.74,0,Yes,No,29,Poor,7,No,No,276.33
HOUSE02400,180.64,3,8,1,Gas,A,24.64,8,Yes,No,17,Poor,5,No,Yes,340.19
HOUSE01620,100.27,4,6,2,Electric,C,13.46,0,No,Yes,1,Poor,3,Yes,Yes,404.87
HOUSE00443,181.49,3,25,2,Solar,D,20.16,4,No,Yes,18,Good,4,No,Yes,383.91
HOUSE00974,209.02,1,,None,Electric,B,12.93,10,No,No,13,Average,5,No,No,343.26
HOUSE00379,200.37,2,5,1,Gas,D,12.41,0,No,No,41,Average,3,Yes,No,319.4
HOUSE01469,236.53,2,11,1,Electric,C,22.09,10,No,Yes,24,Average,3,Yes,No,274.74
HOUSE02156,140.37,4,16,1,None,A,16.79,0,No,No,21,Good,6,No,No,398.45
HOUSE01065,86.7,4,10,None,Gas,C,22.27,10,Yes,Yes,22,Poor,2,No,No,365.17
HOUSE00339,181.09,1,22,1,None,B,,4,No,Yes,,,7,Yes,Yes,203.18
HOUSE01125,82.74,3,23,None,Gas,D,26.7,8,No,No,44,Average,1,No,No,416.46
HOUSE01864,131.94,4,6,1,Solar,B,30.08,8,No,No,18,Good,6,No,Yes,327.99
HOUSE01894,149.9,3,6,2,Gas,B,14.69,0,No,No,13,Average,3,No,No,336.02
HOUSE01393,143.91,3,22,3+,Electric,B,,0,No,No,45,Average,6,No,Yes,508.02
HOUSE01994,151.05,3,26,None,Gas,D,19.7,0,No,Yes,1,Average,5,No,No,331.79
HOUSE00949,209.41,3,26,2,Electric,E,34.59,0,No,Yes,34,Good,1,Yes,Yes,499.05
HOUSE01648,94.71,5,12,1,Gas,E,28.24,8,No,No,6,Average,2,No,Yes,493.14
HOUSE01173,134.19,2,25,1,None,B,24.87,0,Yes,Yes,38,Average,6,  No ,No,268.97
HOUSE01073,136.91,4,10,1,Gas,A,27.35,8,Yes,No,29,Good,8,No,No,454.66
